,▼背景,企業とのマッチング度を定量的に自己採点できないだろうか？,,,,,,,,,,,,,,,,,,,,,,,,
,▼目的,「弘章さんがキャリアを積む」「応募先が大切にしている」価値観を可視化照合する,,,,,,,,,,,,,,,,,,,,,,,,
,▼結論,「なんとなく良さそう」を極力外し、冷静な客観視を含む意思決定の精度を高める,,,,,,,,,,,,,,,,,,,,,,,,
,▼結果,※　各立場を弘章さんが想定し、新らしい情報を手にしたら、都度、弘章さんが配点を更新すること！,,,,,,,,,,,,,,,,,,,,,,,,
,　・弘章の各価値項目の重みに対する配点　（1点「普通」、2点「まあまあ大事」、3点「これは大事だ」）,,,,,,,,,,,,,,,,,,,,,,,,,
,　・会社側の各価値項目の重要度に対する配点　（5点「とても良い」〜　0点「とても悪い」）,,,,,,,,,,,,,,,,,,,,,,,,,
,マトリックス分析_表,,,,,,,,,,,,,,,,,,,,,,,,,
,,応募依頼,選考状況,弘章価値の重み点数（1〜3点）,,色付け,3,3,3,3,2,3,2,3,2,3,2,2,↓max 5点,,,,,,,
,"情報掲載
サイト","○：出した
△：考え中
✕：辞退","1：書類
2：試験
3：面接","重み　×
重要度
（点）","会社側の重要度点数→
会社名↓（0〜5点）　","✕なら
グレー","ﾜｰｸﾗｲﾌ
ﾊﾞﾗﾝｽの安定","雇用の
安定","労働
時間","ｼﾌﾄﾜｰｸする
勤務時間が
少ない","通勤
時間","【自由】
仕事の
ｺﾝﾄﾛｰﾙ権","【達成】
ﾌｨｰﾄﾞﾊﾞｯｸ
ｼｽﾃﾑ","【明確】
ﾀｽｸ、ﾋﾞｼﾞｮﾝ、
評価の明確さ","【多様】
ﾌﾟﾛｼﾞｪｸﾄ全体に
関与する","【焦点】
ﾓﾁﾍﾞｰｼｮﾝﾀｲﾌﾟ
弘章：防御型","【仲間】
ｿｰｼｬﾙｻﾎﾟｰﾄの
有無","【貢献】
目に見える
他人への貢献","Openwork
経験者採点",割合,企業が求めているスキル,企業紹介ページの第一印象,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,doda,○,,87,株コスモルート,TRUE,5 ,3 ,3 ,4 ,5 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,3.4,68.0%,,出勤先は@江坂,株式公開？,,,
,doda,✕,-,79,IFT合同会社,TRUE,3 ,2 ,2 ,2 ,4 ,2 ,2 ,3 ,4 ,3 ,2 ,2 ,,,,"契約期間(半年)
→正社員",医療系,請負,株式公開？,
,doda,○→残念,１：✕,106,Works Human Intelligence,TRUE,5 ,2 ,3 ,3 ,4 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,,,,退職金なし,転勤ありらしい,,,
